Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
2013,"Colombia","Emergency Shelter and NFI",107944.58,0,0
2013,"Colombia","Food Security",641570.31,0,0
2013,"Colombia","Water Sanitation Hygiene",150000,0,0
2013,"DRC","Coordination and Support Services",508270,20259,0
2013,"DRC","Education",665000,32091,0
2013,"DRC","Emergency Shelter and NFI",1008805,33269,0
2013,"DRC","Food Security",875000,23238,0
2013,"DRC","Health",1163009,305923,0
2013,"DRC","Logistics",1154994.44,103183,0
2013,"DRC","Nutrition",261000,3290,0
2013,"DRC","Protection",888820,772975,0
2013,"DRC","Water Sanitation Hygiene",1645000,655656,0
2013,"Ethiopia","Education",368884,0,0
2013,"Ethiopia","Food Security",1348484.72,0,0
2013,"Ethiopia","Multi-Sector",160512.43,0,0
2013,"Ethiopia","Nutrition",5477865.82,0,0
2013,"Ethiopia","Protection",3058421.77,0,0
2013,"Haiti","Coordination and Support Services",197235.29,0,0
2013,"Haiti","Health",248775,0,0
2013,"Haiti","Multi-Sector",499234.07999999996,0,0
2013,"Myanmar","Water Sanitation Hygiene",78945,0,0
2013,"oPt","Emergency Shelter and NFI",247725,0,0
2013,"oPt","Health",204798,0,0
2013,"oPt","Water Sanitation Hygiene",300000,0,0
2013,"Pakistan","Education",499649,0,0
2013,"Pakistan","Emergency Shelter and NFI",2370449,0,0
2013,"Pakistan","Food Security",2058800,0,0
2013,"Pakistan","Health",718744.47,0,0
2013,"Pakistan","Multi-Sector",1982785.96,0,0
2013,"Pakistan","Protection",62188,0,0
2013,"Pakistan","Water Sanitation Hygiene",224764,0,0
2013,"Sudan","Camp Coordination / Management",4222224,334931,146962
2013,"Sudan","Coordination and Support Services",1931358.35,959695,1080694
2013,"Sudan","Early Recovery",1649790.38,209193,232849
2013,"Sudan","Education",5314500.51,130258,176164
2013,"Sudan","Emergency Shelter and NFI",1917012.43,457988,170577
2013,"Sudan","Food Security",6710317.97,1510063,1828558
2013,"Sudan","Health",4125332.2800000003,4561353,2938479
2013,"Sudan","Logistics",1064199.96,765000,450004
2013,"Sudan","Nutrition",3753500.57,487528,681181
2013,"Sudan","Protection",4409157.390000001,935075,272334
2013,"Sudan","Water Sanitation Hygiene",5166461.08,944836,1070963
2013,"Yemen","Coordination and Support Services",457596.2,0,0
2013,"Yemen","Early Recovery",644375.4,0,0
2013,"Yemen","Emergency Shelter and NFI",654573.5,0,0
2013,"Yemen","Food Security",485003,0,0
2013,"Yemen","Health",2406144.33,0,0
2013,"Yemen","Logistics",488300,0,0
2013,"Yemen","Multi-Sector",1468095.29,0,0
2013,"Yemen","Nutrition",512456.61,0,0
2013,"Yemen","Protection",233839.27000000002,0,0